title,published,id,url,main_topic,all_topics,authors,year
SimSCOOD: Systematic Analysis of Out-of-Distribution Behavior of Source Code Models,2022-10-10 16:07:24+00:00,34,"""http://arxiv.org/pdf/2210.04802v1""",cs.SE,"['cs.SE', 'cs.AI', 'cs.CL', 'cs.LG', 'cs.PL']","['HOSSEIN HAJIPOUR', 'NING YU', 'CRISTIAN-ALEXANDRU STAICU', 'MARIO FRITZ']",2022
LMQFormer: A Laplace-Prior-Guided Mask Query Transformer for Lightweight Snow Removal,2022-10-10 15:44:06+00:00,35,"""http://arxiv.org/pdf/2210.04787v1""",cs.CV,['cs.CV'],"['JUNHONG LIN', 'NANFENG JIANG', 'ZHENTAO ZHANG', 'WEILING CHEN', 'TIESONG ZHAO']",2022
MUSE crowded field 3D spectroscopy in NGC 300 III. Characterizing extremely faint HII regions and diffuse ionized gas,2022-10-10 15:43:45+00:00,36,"""http://arxiv.org/pdf/2210.04786v1""",astro-ph.GA,['astro-ph.GA'],"['GENOVEVA MICHEVA', 'MARTIN M. ROTH', 'PETER M. WEILBACHER', 'CHRISTOPHE MORISSET', 'N. CASTRO', 'A. MONREAL IBERO', 'AZLIZAN A. SOEMITRO', 'MICHAEL V. MASEDA', 'MATTHIAS STEINMETZ', 'JARLE BRINCHMANN']",2022
On the Importance of Calibration in Semi-supervised Learning,2022-10-10 15:41:44+00:00,37,"""http://arxiv.org/pdf/2210.04783v1""",cs.LG,"['cs.LG', 'cs.CV', 'physics.app-ph']","['CHARLOTTE LOH', 'RUMEN DANGOVSKI', 'SHIVCHANDER SUDALAIRAJ', 'SEUNGWOOK HAN', 'LIGONG HAN', 'LEONID KARLINSKY', 'MARIN SOLJACIC', 'AKASH SRIVASTAVA']",2022
Robustification of Multilingual Language Models to Real-world Noise with Robust Contrastive Pretraining,2022-10-10 15:40:43+00:00,38,"""http://arxiv.org/pdf/2210.04782v1""",cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']","['ASA COOPER STICKLAND', 'SAILIK SENGUPTA', 'JASON KRONE', 'SAAB MANSOUR', 'HE HE']",2022
Contrastive Learning Approach for Semi-Supervised Seismic Facies Identification Using High-Confidence Representations,2022-10-10 15:36:05+00:00,39,"""http://arxiv.org/pdf/2210.04776v1""",cs.CV,"['cs.CV', 'eess.IV']","['KEWEN LI', 'WENLONG LIU', 'YIMIN DOU', 'ZHIFENG XU', 'HONGJIE DUAN', 'RUILIN JING']",2022
Hierarchical Learning in Euclidean Neural Networks,2022-10-10 15:26:00+00:00,40,"""http://arxiv.org/pdf/2210.04766v1""",cs.LG,"['cs.LG', 'physics.chem-ph']","['JOSHUA A. RACKERS', 'PRANAV RAO']",2022
On the Forward Invariance of Neural ODEs,2022-10-10 15:18:28+00:00,41,"""http://arxiv.org/pdf/2210.04763v1""",cs.LG,"['cs.LG', 'cs.AI', 'cs.RO', 'cs.SY', 'eess.SY']","['WEI XIAO', 'TSUN-HSUAN WANG', 'RAMIN HASANI', 'MATHIAS LECHNER', 'DANIELA RUS']",2022
Monoenergetic Neutrinos from WIMP Annihilation in Jupiter,2022-10-10 15:16:14+00:00,42,"""http://arxiv.org/pdf/2210.04761v1""",hep-ph,['hep-ph'],"['GEORGE M. FRENCH', 'MARC SHER']",2022
On the Performance of Gradient Tracking with Local Updates,2022-10-10 15:13:23+00:00,43,"""http://arxiv.org/pdf/2210.04757v1""",math.OC,"['math.OC', 'cs.LG', 'stat.ML']","['EDWARD DUC HIEN NGUYEN', 'SULAIMAN A. ALGHUNAIM', 'KUN YUAN', 'CÉSAR A. URIBE']",2022
